index,time_ms,ok,n_pre_bins,fp_delay_ns,fp_idx,P_signal,P_interf_mean,P_interf_max,sir_db,sir_peak_db,prepath_floor_db,fcs_pass
80,407.379698,1,14,1.001603,17,3.298471e-01,1.703032e-06,8.438727e-06,52.8709,45.9204,-52.8709,1
81,412.244063,1,14,1.001603,17,1.001457e-01,1.984127e-04,3.491452e-04,27.0306,24.5763,-27.0306,1
82,417.379698,1,14,1.001603,17,2.506079e-01,1.044368e-04,3.924667e-04,33.8014,28.0519,-33.8014,0
83,422.379697,1,14,1.001603,17,1.909671e-01,1.067449e-06,6.240479e-06,52.5261,44.8574,-52.5261,1
84,427.379697,1,14,1.001603,17,2.356008e-01,2.467525e-06,8.858331e-06,49.7992,44.2482,-49.7992,1
85,432.379698,1,14,1.001603,17,2.804115e-01,1.751277e-04,4.334507e-04,32.0444,28.1086,-32.0444,1
86,437.244065,1,14,1.001603,17,2.603572e-01,1.758838e-04,4.005453e-04,31.7034,28.1292,-31.7034,0
87,442.379698,1,14,1.001603,17,3.644712e-01,3.170036e-06,2.831733e-05,50.6060,41.0961,-50.6060,1
88,447.244065,1,14,1.001603,17,2.336819e-01,1.009750e-05,3.145281e-05,43.6441,38.7097,-43.6441,1
89,452.515331,1,14,1.001603,17,3.508857e-01,1.145595e-04,3.831346e-04,34.8613,29.6181,-34.8613,1
90,457.379697,1,14,1.001603,17,2.312195e-01,1.629537e-06,8.546810e-06,51.5196,44.3222,-51.5196,1
91,462.379697,1,14,1.001603,17,2.792542e-01,1.313938e-06,4.934108e-06,53.2742,47.5279,-53.2742,1
92,467.379698,1,14,1.001603,17,3.194758e-01,7.148271e-05,1.977932e-04,36.5024,32.0823,-36.5024,1
93,472.379697,1,14,1.001603,17,3.600635e-01,9.872452e-05,4.123334e-04,35.6195,29.4113,-35.6195,1
94,477.244065,1,14,1.001603,17,2.275938e-01,4.676903e-06,1.446921e-05,46.8720,41.9672,-46.8720,1
95,482.244065,1,14,1.001603,17,2.724943e-01,1.218594e-06,4.500046e-06,53.4950,47.8214,-53.4950,1
96,487.379698,1,14,1.001603,17,2.250821e-01,1.199312e-05,2.921477e-05,42.7341,38.8674,-42.7341,1
97,492.379698,1,14,1.001603,17,2.546061e-01,8.136775e-05,3.863679e-04,34.9542,28.1887,-34.9542,1
98,497.379698,1,14,1.001603,17,3.127452e-01,1.361909e-06,5.488852e-06,53.6104,47.5571,-53.6104,1
99,502.379697,1,14,1.001603,17,3.527564e-01,2.266715e-06,1.726050e-05,51.9208,43.1042,-51.9208,1
100,507.244063,1,14,1.001603,17,2.249078e-01,1.851478e-06,1.090551e-05,50.8449,43.1436,-50.8449,1
101,517.244065,1,14,1.001603,17,3.072921e-01,1.342778e-06,5.052910e-06,53.5955,47.8401,-53.5955,1
102,522.379698,1,14,1.001603,17,2.591016e-01,1.660071e-06,6.199222e-06,51.9334,46.2113,-51.9334,1
103,527.379698,1,14,1.001603,17,2.986484e-01,4.141265e-05,3.768171e-04,38.5803,28.9903,-38.5803,1
104,537.515332,1,14,1.001603,17,2.988666e-01,1.341893e-06,4.866730e-06,53.4776,47.8824,-53.4776,1
105,542.244063,1,14,1.001603,17,2.508438e-01,2.913920e-06,1.104211e-05,49.3493,43.5635,-49.3493,1
106,547.379698,1,14,1.001603,17,1.999313e-01,1.072891e-04,3.922156e-04,32.7033,27.0736,-32.7033,1
107,552.379698,1,14,1.001603,17,2.454869e-01,1.270703e-04,4.636455e-04,32.8598,27.2384,-32.8598,0
108,557.379697,1,14,1.001603,17,2.917505e-01,1.327874e-06,4.505523e-06,53.4185,48.1127,-53.4185,1
109,562.379698,1,14,1.001603,17,3.330081e-01,3.154347e-06,1.096089e-05,50.2355,44.8261,-50.2355,1
110,567.379697,1,14,1.001603,17,3.701755e-01,3.183862e-06,2.053401e-05,50.6545,42.5593,-50.6545,1
111,572.515331,1,14,1.001603,17,3.283598e-01,6.223797e-05,2.587539e-04,37.2229,31.0346,-37.2229,0
112,577.379698,1,14,1.001603,17,1.906778e-01,1.070771e-06,6.389543e-06,52.5060,44.7483,-52.5060,1
113,582.379697,1,14,1.001603,17,2.328427e-01,2.856239e-05,7.086388e-05,39.1127,35.1664,-39.1127,1
114,587.244063,1,14,1.001603,17,3.604676e-01,8.832205e-05,4.615341e-04,36.1080,28.9266,-36.1080,1
115,592.515331,1,14,1.001603,17,2.279989e-01,1.331953e-05,5.634736e-05,42.3344,36.0706,-42.3344,1
116,597.379698,1,14,1.001603,17,3.618563e-01,2.851975e-06,2.521797e-05,51.0339,41.5683,-51.0339,1
117,602.379698,1,14,1.001603,17,3.981006e-01,1.944080e-05,2.384644e-04,43.1128,32.2257,-43.1128,1
118,607.244063,1,14,1.001603,17,2.745243e-01,1.866530e-06,7.258643e-06,51.6755,45.7773,-51.6755,1
119,612.379697,1,14,1.001603,17,2.271269e-01,2.412929e-06,1.432619e-05,49.7372,42.0014,-49.7372,1
120,617.379697,1,14,1.001603,17,2.718988e-01,1.212505e-06,4.240386e-06,53.5072,48.0700,-53.5072,1
121,622.379697,1,14,1.001603,17,3.219952e-01,4.706121e-05,2.886089e-04,38.3519,30.4754,-38.3519,1
122,627.379697,1,14,1.001603,17,3.500032e-01,1.680208e-04,4.429736e-04,33.1871,28.9769,-33.1871,1
123,632.379698,1,14,1.001603,17,3.913035e-01,1.531556e-05,1.991074e-04,44.0738,32.9343,-44.0738,1
124,637.515332,1,14,1.001603,17,3.513659e-01,2.317958e-06,1.683487e-05,51.8065,43.1955,-51.8065,1
125,642.244065,1,14,1.001603,17,3.164766e-01,2.360260e-04,4.503319e-04,31.2738,28.4681,-31.2738,1
126,647.379698,1,14,1.001603,17,2.579632e-01,2.670192e-04,7.962911e-04,29.8502,25.1049,-29.8502,0
127,652.515332,1,14,1.001603,17,2.122758e-01,1.117316e-06,5.806131e-06,52.7872,45.6301,-52.7872,1
128,657.379698,1,14,1.001603,17,3.459423e-01,1.892474e-06,1.215615e-05,52.6197,44.5421,-52.6197,1
129,662.244063,1,14,1.001603,17,2.083671e-01,5.901884e-05,2.259657e-04,35.4784,29.6479,-35.4784,1
130,667.379698,1,14,1.001603,17,2.815360e-01,1.179691e-04,4.919095e-04,33.7777,27.5765,-33.7777,0
131,672.379697,1,14,1.001603,17,2.085751e-01,1.155047e-06,5.827538e-06,52.5666,45.5378,-52.5666,1
132,677.379697,1,14,1.001603,17,2.551965e-01,2.300791e-06,7.671316e-06,50.4500,45.2200,-50.4500,1
133,682.379698,1,14,1.001603,17,3.002834e-01,2.062410e-04,4.876912e-04,31.6316,27.8939,-31.6316,1
134,687.379697,1,14,1.001603,17,3.386279e-01,3.916628e-05,2.437436e-04,39.3681,31.4279,-39.3681,0
135,692.379697,1,14,1.001603,17,3.770500e-01,4.187174e-06,4.385716e-05,49.5448,39.3436,-49.5448,1
136,697.244065,1,14,1.001603,17,2.508655e-01,1.087627e-05,2.532463e-05,43.6296,39.9590,-43.6296,1
137,702.515331,1,14,1.001603,17,3.742157e-01,1.348466e-04,4.133052e-04,34.4328,29.5685,-34.4328,1
138,707.244065,1,14,1.001603,17,3.363239e-01,9.926575e-05,2.091230e-04,35.2996,32.0636,-35.2996,1
139,712.379697,1,14,1.001603,17,2.912963e-01,1.335102e-06,5.016046e-06,53.3882,47.6397,-53.3882,1
140,717.379697,1,14,1.001603,17,3.338480e-01,2.706804e-05,1.207741e-04,40.9109,34.4157,-40.9109,1
141,722.379698,1,14,1.001603,17,3.674156e-01,4.535274e-05,3.773316e-04,39.0855,29.8843,-39.0855,1
142,727.244065,1,14,1.001603,17,2.440774e-01,1.860662e-06,1.213198e-05,51.1786,43.0360,-51.1786,1
143,732.244065,1,14,1.001603,17,2.868327e-01,1.272216e-06,4.907307e-06,53.5307,47.6679,-53.5307,1
144,737.379697,1,14,1.001603,17,2.446892e-01,6.867735e-05,2.575049e-04,35.5180,29.7783,-35.5180,1
145,742.244065,1,14,1.001603,17,3.728923e-01,9.295389e-06,3.323283e-05,46.0332,40.5002,-46.0332,1
146,747.379697,1,14,1.001603,17,3.272728e-01,1.479340e-06,7.154743e-06,53.4484,46.6032,-53.4484,1
147,752.379698,1,14,1.001603,17,3.647571e-01,3.070365e-06,2.837261e-05,50.7481,41.0910,-50.7481,1
148,757.244065,1,14,1.001603,17,2.331837e-01,1.879282e-04,4.942641e-04,30.9371,26.7374,-30.9371,0
149,762.379694,1,14,1.001603,17,1.028121e-01,9.430669e-06,3.062769e-05,40.3750,35.2593,-40.3750,0
150,767.244063,1,14,1.001603,17,3.200117e-01,1.500303e-06,6.770891e-06,53.2899,46.7452,-53.2899,1
151,772.379697,1,14,1.001603,17,2.718077e-01,1.702178e-06,5.235286e-06,52.0326,47.1532,-52.0326,1
152,777.515331,1,14,1.001603,17,2.264805e-01,7.445861e-05,3.535870e-04,34.8312,28.0653,-34.8312,1
153,782.244063,1,14,1.001603,17,2.045827e-01,1.491449e-04,9.592798e-04,31.3726,23.2892,-31.3726,0
154,787.515331,1,14,1.001603,17,3.128047e-01,1.327442e-06,5.114939e-06,53.7226,47.8643,-53.7226,1
155,792.244065,1,14,1.001603,17,2.662225e-01,2.472682e-06,1.210205e-05,50.3208,43.4239,-50.3208,1
156,797.379698,1,14,1.001603,17,2.183573e-01,1.192776e-04,4.981516e-04,32.6261,26.4181,-32.6261,1
157,802.515332,1,14,1.001603,17,3.267185e-01,9.961594e-05,4.598762e-04,35.1584,28.5153,-35.1584,0
158,807.379697,1,14,1.001603,17,3.085262e-01,1.380170e-06,5.008545e-06,53.4936,47.8958,-53.4936,1
159,812.379697,1,14,1.001603,17,3.486153e-01,2.643198e-06,1.127363e-05,51.2022,44.9028,-51.2022,1
160,817.379698,1,14,1.001603,17,3.852311e-01,1.549761e-04,3.697515e-04,33.9546,30.1781,-33.9546,1
161,822.515332,1,14,1.001603,17,3.451918e-01,1.233505e-04,3.281462e-04,34.4692,30.2199,-34.4692,1
162,827.379698,1,14,1.001603,17,2.096862e-01,1.154446e-06,6.163642e-06,52.5920,45.3173,-52.5920,1
163,832.379698,1,14,1.001603,17,2.535948e-01,1.431578e-05,7.639161e-05,42.4833,35.2109,-42.4833,1
164,837.515332,1,14,1.001603,17,2.072711e-01,1.198525e-04,4.220324e-04,32.3789,26.9119,-32.3789,1
165,842.515331,1,14,1.001603,17,2.473579e-01,2.385727e-05,1.278707e-04,40.1571,32.8655,-40.1571,1
166,847.379697,1,14,1.001603,17,3.758120e-01,4.135393e-06,4.318746e-05,49.5845,39.3961,-49.5845,1
167,852.244065,1,14,1.001603,17,2.461088e-01,2.971241e-06,1.084359e-05,49.1819,43.5595,-49.1819,1
168,857.379698,1,14,1.001603,17,2.109387e-01,9.642085e-06,2.738072e-05,43.3999,38.8671,-43.3999,0
169,862.379697,1,14,1.001603,17,2.411852e-01,5.302009e-06,1.995048e-05,46.5791,40.8240,-46.5791,1
170,867.379698,1,14,1.001603,17,2.857932e-01,1.215153e-06,4.436526e-06,53.7142,48.0901,-53.7142,1
