index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
80,1,174898547,174898547,133042,0.994992727796531,0.985195256710385,-0.18,-173.93274832181,2712.89837226793+1480.11288216512i,0.829125895799214+0.0950652138662554i,0.834802566586188+0.119191822622756i,8.19799324400863,0,1,
81,1,177096279,177096279,133042,0.99466729658448,0.96054309860887,0.33,-179.062511781245,-649.224834216379+3036.94890296058i,0.833302169525607+0.060446037582917i,0.835117705112528+0.121791216834331i,8.20913490839136,0,1,
82,1,179308379,179308379,133042,0.995277700070546,0.960837067662941,0.33,-212.646049377425,1433.04449595671-2753.35253944833i,0.834693813738591+0.0259138451490424i,0.833285358993804+0.124907291156742i,8.13247570721603,0,1,
83,1,181530546,181530546,133042,0.994557232150316,0.961984605364276,0.32,-273.245030078977,-2592.23204898443+1703.21248834792i,0.831206805417122+0.0814032353597216i,0.835699651021431+0.112036671900207i,8.35834279030292,0,1,
84,1,183731852,183731852,133042,0.994338897016258,0.916549312986206,0.49,-286.898337485817,1142.46854784537+2894.76255189184i,0.826370818671954+0.107118599791246i,0.82741257103271+0.15053735704183i,8.26187723714633,0,1,
85,1,185943622,185943622,133042,0.994987430963105,0.969545321569918,-0.28,-76.6241122344441,-2241.37414253053+2142.84583267212i,0.832147170595797+0.0399704481872316i,0.839394561755297+0.085502580405029i,7.9939575602869,0,1,
86,1,188155515,188155515,133042,0.99547509240324,0.98966084149959,0.13,-268.543636601016,-2143.44857710574+2219.4870169156i,0.830244708716701+0.0989078342024967i,0.827942274543634+0.163543175573811i,8.11962181764669,0,1,
87,1,190367130,190367130,133042,0.995225006286197,0.969744327972297,0.28,-248.444937977865,116.683482840702+3097.89627714296i,0.829546512157476+0.104281818603881i,0.836948323955201+0.110101730761168i,8.27045467654504,0,1,
88,1,192580459,192580459,133042,0.995602398922161,0.986022260021299,-0.18,-232.137591065527,-2999.65158128532+748.907439717561i,0.830349190287432+0.0758205640672118i,0.833130879059111+0.13421577634352i,8.15858457993715,0,1,
89,1,194792346,194792346,133042,0.995728919911558,0.987800933125865,0.16,-78.7479530194976,3086.75152254348-18.0408085886029i,0.833762101403829+0.0667200809607898i,0.840429268386708+0.0929907668485773i,8.03171082443924,0,1,
90,1,197009852,197009852,133042,0.995477407618808,0.993661690941633,0.0799999999999999,-114.605298874812,-899.173220412929+2949.1017524663i,0.83431385289605+0.0438192875773014i,0.840450104289556+0.0789749647240509i,8.2400976104954,0,1,
91,1,199215867,199215867,133042,0.994981594163131,0.921304278103171,-0.48,-195.263984632318,-1341.96125090437-2809.50475073532i,0.826099814430123+0.108631996505279i,0.824935992297093+0.170193464887893i,8.1160625463175,0,1,
92,1,201426696,201426696,133042,0.995516274119618,0.994203644846284,0.0599999999999999,-101.404210232345,1707.50831139755+2570.0856227029i,0.833813084340317+0.0621368738392878i,0.841685332129622+0.0671666060370574i,8.12914091494637,0,1,
93,1,203649046,203649046,133042,0.995596042379675,0.992740356493286,0.0999999999999999,-90.0224725243681,2453.13349236725+1875.17252317808i,0.836539924168912+0.0202364272274067i,0.839732668024663+0.102305533855026i,8.19922590380669,0,1,
94,1,205851097,205851097,133042,0.994484842978481,0.922235780140654,0.48,-259.368070754548,-2695.98898802296+1554.27405608718i,0.820630284012453+0.13779368491026i,0.829700103474867+0.136553351956698i,8.08418735668367,0,1,
95,1,208061886,208061886,133042,0.994848852754146,0.926082756462414,-0.46,-152.758822389854,-2813.74912357979+1338.51428667605i,0.832958317452406+0.0169523928739244i,0.840957343332415+0.0535794456248378i,8.04214549154318,0,1,
96,1,210273466,210273466,133042,0.994964150809782,0.942758616461735,-0.4,-57.2193504545203,-1039.56538343415+2934.45189063836i,0.833396787532815+0.0211335804180583i,0.840902731052103+0.0527063871236517i,7.80132568192904,0,1,
97,1,212486764,212486764,133042,0.994979489057185,0.950316031935034,0.37,-195.776345743858,3032.22828953155-697.399522347331i,0.832120162602755+0.0512285921194364i,0.836456260398755+0.101008737130709i,8.13724486587834,0,1,
98,1,214697653,214697653,133042,0.994926475577322,0.921217519617572,0.48,-227.521956434783,-2692.76769844723-1567.97068711906i,0.82738202896355+0.0922115880119622i,0.834609678833287+0.116549588417994i,8.02237240044989,0,1,
99,1,216910049,216910049,133042,0.995911238928039,0.994792882642172,0.0599999999999999,-230.536443905795,3083.54839201494-156.780773162145i,0.831315485847432+0.0923796766423078i,0.836327089965807+0.120045259645954i,8.01104306109269,0,1,
100,1,219131205,219131205,133042,0.995538449283015,0.977926730125428,0.24,-81.4497002932303,-50.4178223655216-3099.870912069i,0.836401142359207+0.0357960262686577i,0.841104744989651+0.0813351466453776i,8.10413796593756,0,1,
101,1,221333759,221333759,133042,0.995072375485807,0.921368572082355,-0.48,-188.881700599438,2948.59015376064-997.766065651281i,0.830450049709074+0.0701287125582446i,0.833892277490054+0.121839255926731i,8.04034466170475,0,1,
102,1,223544807,223544807,133042,0.993176467870696,0.919157201345745,-0.48,-186.975555662341,-1965.89446477078+2409.76768830534i,0.829951128004288+0.0779827168760273i,0.83695695712476+0.0989059543590921i,8.18526553430848,0,1,
103,1,225767570,225767570,133042,0.995066646468001,0.994974765257533,0,-158.273450969639,-3034.22882970108+547.124806508458i,0.833055873245074+0.0809733547286572i,0.840409563408462+0.102528097661409i,8.09953855467559,0,1,
104,1,227969012,227969012,133042,0.994844174225576,0.934041965813464,0.43,-409.330543718631,-1868.19473001059+2491.47806127557i,0.819694395891935+0.151056770228784i,0.805226993789819+0.247937434328247i,8.09765588098673,0,1,
105,1,230180982,230180982,133042,0.994936941911337,0.969492533721033,0.28,-196.881048441226,-457.888854710366-3067.43054348333i,0.829559727159967+0.10257714759081i,0.834575486501385+0.123504754107316i,8.13476085014351,0,1,
106,1,232393455,232393455,133042,0.995434518196788,0.983835233085844,-0.19,-260.997395527479,3062.45832217693+446.798302322854i,0.828523256942646+0.0876203159820803i,0.826194428284817+0.169871866688443i,8.32722594839808,0,1,
107,1,234605489,234605489,133042,0.995616099054847,0.978001751950067,0.24,-136.26657214122,-3059.95183820024+499.473363040926i,0.834713187282808+0.0435000231108113i,0.837149517686588+0.109801200496765i,8.21554260897768,0,1,
108,1,236816591,236816591,133042,0.995981410206052,0.988543547917811,0.16,-147.451628868969,2334.74886107248+2032.52803162365i,0.835490798255459+0.0385636718141226i,0.842126684373821+0.0537461799004512i,8.11681477753282,0,1,
