index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1636,1,618818081,618818081,227565,0.987043338902059,0.952747364927545,-0.25,-1630.0270604316,-3216.48464929027+3059.49492954725i,0.856744625661477-0.00659090413986801i,0.868419355573199-0.0505596698965124i,14.4524415352088,0,1,
1637,1,619196551,619196551,227565,0.987177315106216,0.95467267455366,0.24,-1650.09991955832,2899.88145577622-3354.44937277227i,0.854795092092817-0.00453626091916451i,0.870845674697696-0.0295733470459167i,14.3584217873091,0,1,
1638,1,619575022,619575022,227565,0.98644052106603,0.926406491191824,-0.32,-1636.25652607654,-2453.02454770108+3735.00047730963i,0.85494759897896-0.0130393020512896i,0.874115609307061-0.0583904860774798i,14.4187001912829,0,1,
1639,1,619953493,619953493,227565,0.986150767664643,0.887633717070136,-0.42,-1618.15986247604,1135.68310517041-4349.31782093095i,0.852060195659574-0.0322952073980531i,0.873503297655494-0.040514474650875i,14.2175706124533,0,1,
1640,1,620331963,620331963,227565,0.987876400622984,0.98217934173301,0.0499999999999999,-1659.38163127262,-825.907249365785+4297.0354408372i,0.859423355847766-0.014035058645324i,0.874379898050741-0.0235100410211094i,14.7387093205793,0,1,
1641,1,620710434,620710434,227565,0.985927728434131,0.850996050357885,-0.5,-1643.16674642542,238.539811707106-4489.04625159961i,0.85213431728184-0.0112847137123978i,0.86649234814982-0.0190272940457545i,14.1118675952869,0,1,
1642,1,621088904,621088904,227565,0.987756983126277,0.981811410108197,-0.0399999999999999,-1660.95751393529,306.897351810591+4362.65386789175i,0.859246504111968-0.00863775416806076i,0.880780752200107-0.0233424345489994i,14.7545238280659,0,1,
1643,1,621467374,621467374,227565,0.987519342105024,0.974728499962325,0.13,-1621.53532042232,-427.943756475886-4373.43527064824i,0.857443462915261-0.0185974930075484i,0.871982399570557-0.0375558188448834i,14.6555742190207,0,1,
1644,1,621845845,621845845,227565,0.987544495833597,0.963236122589783,0.21,-1644.22197572489,2028.1486715607+3932.15218527629i,0.855312591680325-0.00327867964329968i,0.877029869551901-0.0131327961396402i,14.555479398322,0,1,
1645,1,622224316,622224316,227565,0.986969793413435,0.955673136404189,-0.23,-1641.57016220911,-2778.26108255422-3455.41382791197i,0.857394653492145-0.0177451219504264i,0.87693788057833-0.0326936627228145i,14.6397680595871,0,1,
1646,1,622602786,622602786,227565,0.987934447599864,0.980675650008955,-0.0699999999999999,-1619.86136011143,2568.94944434098+3547.22084988421i,0.859640263015178-0.0214350793205588i,0.874496709335279-0.0384497470707443i,14.7934185864332,0,1,
1647,1,622981256,622981256,227565,0.986182756381489,0.896275956277521,0.4,-1640.31455373967,-3048.66665659647-3296.76693735195i,0.851073260815675-0.00376157475061673i,0.871984666896459-0.0127168342502772i,14.1969584940481,0,1,
1648,1,623359727,623359727,227565,0.987323680803439,0.968540047626082,0.17,-1625.02929282664,3818.39648204489+2204.80214693495i,0.853414647205742-0.0408728270741865i,0.86848011454142-0.050550431340053i,14.5164985239953,0,1,
1649,1,623738198,623738198,227565,0.987095742815856,0.948183403223145,-0.26,-1613.31089490651,-4212.71959643509-1420.41356679417i,0.854510497087968-0.0475940944400102i,0.869346909261675-0.0599751805048822i,14.474288226683,0,1,
1650,1,624116668,624116668,227565,0.988166644715778,0.978726489370412,0.0999999999999999,-1659.24790441229,4176.03245446303+1343.11108001797i,0.859197908536252-0.0179003571188548i,0.877389204029316-0.051777065691073i,14.7682649898798,0,1,
1651,1,624495139,624495139,227565,0.986115233101453,0.924253125668413,-0.34,-1648.21171754715,-4448.97020217702-478.850232208117i,0.854927238527143-0.0143336664399598i,0.867300077914862-0.000531998170649781i,14.258524169544,0,1,
1652,1,624873609,624873609,227565,0.986893233297816,0.933697199139107,-0.31,-1613.87935770075,4370.1068405459+907.025696686454i,0.854207203630151-0.0327854688670727i,0.875854566415365-0.0342062916147574i,14.3734350940332,0,1,
1653,1,625252080,625252080,227565,0.985983406672233,0.892429716102365,-0.41,-1658.60696862494,-4485.63852473145+272.124329914017i,0.852197256059215+0.00300321513068835i,0.873695664928788-0.00276564527965541i,14.2357949118501,0,1,
1654,1,625630550,625630550,227565,0.987003317967537,0.948045714343758,-0.26,-1625.82837153307,4434.88650958339-299.616350205067i,0.8559607113097-0.0316916491595963i,0.86828062938934-0.0478214068569321i,14.4899339314047,0,1,
1655,1,626009020,626009020,227565,0.986869195662826,0.956328876529245,0.22,-1627.39830078657,-4360.06349172335+763.218671923575i,0.853229972452163-0.0173981871285303i,0.86836722104335-0.0433270230512941i,14.4419531404311,0,1,
1656,1,626387491,626387491,227565,0.987501509936523,0.977007874357111,0.11,-1681.76963205874,3949.45125744268-1910.71760551921i,0.857963557773294+0.0215965652664143i,0.881117052331173-0.00164700265023095i,14.6536005108857,0,1,
1657,1,626765962,626765962,227565,0.98633686645527,0.881474134171529,-0.44,-1633.90752763389,-3688.34479128473+2574.20871118007i,0.851248858833582-0.0300614755058032i,0.872748176962553-0.0422207752148003i,14.2219487192311,0,1,
1658,1,627144432,627144432,227565,0.986096512284353,0.89419162831416,-0.41,-1651.91327858714,3892.36237364987-2241.651427922i,0.852451299265743-0.0307411449264682i,0.866719090798214-0.0362007751240501i,14.1253135127352,0,1,
1659,1,627522902,627522902,227565,0.98591629337616,0.908062556614763,0.37,-1634.58352268826,-3157.10990847024+3182.24482284416i,0.849232172471837-0.0201638044778441i,0.873467824657975-0.0343162209809556i,14.2507335654831,0,1,
1660,1,627901373,627901373,227565,0.986445738101705,0.9123203308866,-0.37,-1646.02847005587,3091.65602448049-3246.93041510826i,0.853092415480437-0.00745662163741024i,0.866690139314774-0.0301435873377629i,14.2323807968881,0,1,
