index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
16,1,33318865,33318865,133042,0.995603719349732,0.995596653698505,0,-186.222827950381,-2962.49245624169-817.162331875303i,0.339480312366521+0.0378190848817405i,0.843804353618773+0.0713501623477346i,5.3996133631067,0,1,
17,1,35538934,35538934,133042,0.99529755852026,0.970061588533549,0.28,-87.3352683359797,-1426.35646734124-2741.84730351261i,0.340625630691318+0.0235391345949581i,0.840008001559772+0.0894521342913054i,5.44408367581777,0,1,
18,1,37751088,37751088,133042,0.994826615543941,0.992440581892122,-0.0899999999999999,-49.738388514654,-3041.66188327929+454.20496043747i,0.341112291509474+0.00661022902520011i,0.843511500754703+0.00621765837510314i,5.44184196164716,0,1,
19,1,39961905,39961905,133042,0.995308421142274,0.977780522752686,0.24,-182.285157548262,2111.83201259205+2253.50595667241i,0.341864428951761+0.0116767489443406i,0.838547159805219+0.0992042101131392i,5.49402178144589,0,1,
20,1,42182140,42182140,133042,0.995571162655901,0.984167590074131,0.19,-73.6576534082482,2767.54741747061-1360.84524496613i,0.341160703610409+0.0212579532271826i,0.844674112613472+0.0205771423504874i,5.41663023991167,0,1,
21,1,44386064,44386064,133042,0.995462421485503,0.990407334770557,0.13,-163.423201181794,957.94406010331-2922.77783892737i,0.342522448799357+0.00689647734792761i,0.842152137085326+0.0771866800561803i,5.51806883390284,0,1,
22,1,46598017,46598017,133042,0.994476246145178,0.950984706353155,-0.37,-242.511174822397,-2986.34765778133+815.958707958053i,0.338973917772821+0.0282452945192588i,0.827644815002846+0.153218604526369i,5.3331523288589,0,1,
23,1,48810867,48810867,133042,0.994860894714451,0.989343987928232,-0.14,-236.71856921253,-2833.76197166404+1193.31729749612i,0.339966194620484+0.0184647082171604i,0.834373701929631+0.122368524888858i,5.43014540535729,0,1,
24,1,51021584,51021584,133042,0.995029699991091,0.993244635035528,0.0599999999999999,-226.276150297837,-3046.7959106903+424.121029101708i,0.340482352752208+0.0333616220336222i,0.837751776501388+0.110891688160484i,5.48234509705879,0,1,
25,1,53233890,53233890,133042,0.993946762620056,0.940899587918037,0.4,-133.227588967551,1915.51515848075+2441.9486186201i,0.340753759581143+0.0168809811024774i,0.83721303110563+0.0975163134275595i,5.34457246945993,0,1,
26,1,55455378,55455378,133042,0.994941010066816,0.98668259753743,-0.16,-162.828605194349,-432.905542260501+3052.14461719537i,0.338765851079997+0.0361379117791975i,0.842193165530411+0.0532729777707464i,5.39657739090791,0,1,
