index,time_start_ms,time_end_ms,sfd,sfd_corr,psdu,fcs,recovered
137,267.201834,267.386651,"IEEE 802.15.4z SFD #2",0.8535,14,1,1
138,267.473100,267.657916,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
139,267.744367,267.929183,"IEEE 802.15.4z SFD #2",0.8411,14,0,1
140,268.015636,268.200453,"IEEE 802.15.4z SFD #2",0.8535,14,1,1
141,268.286902,268.471718,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
142,272.355912,272.540728,"IEEE 802.15.4z SFD #2",0.8679,14,1,1
143,272.627181,272.811998,"IEEE 802.15.4z SFD #2",0.8656,14,1,1
144,272.898448,273.083264,"IEEE 802.15.4z SFD #2",0.8679,14,1,1
145,273.169714,273.354530,"IEEE 802.15.4z SFD #2",0.8679,14,1,1
146,277.238725,277.423541,"IEEE 802.15.4z SFD #2",0.8552,14,1,1
147,277.509993,277.694811,"IEEE 802.15.4z SFD #2",0.8418,14,1,1
148,278.052527,278.237343,"IEEE 802.15.4z SFD #2",0.8552,14,1,1
149,278.323796,278.508613,"IEEE 802.15.4z SFD #2",0.8418,14,1,1
150,282.392806,282.576571,"IEEE 802.15.4z SFD #2",0.6749,13,0,1
151,283.206608,283.390373,"IEEE 802.15.4z SFD #2",0.6749,13,0,1
152,287.275618,287.460434,"IEEE 802.15.4z SFD #2",0.8684,14,1,1
153,287.818153,288.002970,"IEEE 802.15.4z SFD #2",0.8511,14,1,1
154,288.089421,288.274236,"IEEE 802.15.4z SFD #2",0.8684,14,1,1
155,292.429698,292.614516,"IEEE 802.15.4z SFD #2",0.8694,14,1,1
156,292.700966,292.885782,"IEEE 802.15.4z SFD #2",0.8720,14,1,1
157,292.972233,293.157049,"IEEE 802.15.4z SFD #2",0.8720,14,1,1
158,293.243500,293.428318,"IEEE 802.15.4z SFD #2",0.8694,14,1,1
159,297.312511,297.497328,"IEEE 802.15.4z SFD #2",0.8383,14,1,1
160,297.583777,297.768593,"IEEE 802.15.4z SFD #2",0.8484,14,1,1
161,297.855046,298.039861,"IEEE 802.15.4z SFD #2",0.8484,14,1,1
162,298.126313,298.311130,"IEEE 802.15.4z SFD #2",0.8383,14,1,1
163,302.195322,302.380138,"IEEE 802.15.4z SFD #2",0.8243,14,1,1
164,302.466589,302.651405,"IEEE 802.15.4z SFD #2",0.7843,14,0,1
165,302.737858,302.922675,"IEEE 802.15.4z SFD #2",0.7701,14,0,1
166,303.009124,303.193940,"IEEE 802.15.4z SFD #2",0.8243,14,1,1
167,303.280391,303.465207,"IEEE 802.15.4z SFD #2",0.7843,14,0,1
168,307.620671,307.805488,"IEEE 802.15.4z SFD #2",0.8517,14,1,1
169,307.891937,308.076752,"IEEE 802.15.4z SFD #2",0.8588,14,1,1
170,312.232214,312.417030,"IEEE 802.15.4z SFD #2",0.8636,14,1,1
171,312.503483,312.688299,"IEEE 802.15.4z SFD #2",0.8635,14,1,1
172,312.774750,312.959566,"IEEE 802.15.4z SFD #2",0.8635,14,1,1
173,313.046016,313.230832,"IEEE 802.15.4z SFD #2",0.8636,14,1,1
174,313.317285,313.502101,"IEEE 802.15.4z SFD #2",0.8635,14,1,1
175,317.386294,317.571109,"IEEE 802.15.4z SFD #2",0.6163,14,0,1
176,317.657563,317.842379,"IEEE 802.15.4z SFD #2",0.8434,14,1,1
177,317.928830,318.113647,"IEEE 802.15.4z SFD #2",0.8342,14,1,1
178,318.200096,318.384911,"IEEE 802.15.4z SFD #2",0.6163,14,0,1
179,322.540375,322.725193,"IEEE 802.15.4z SFD #2",0.8169,14,0,1
